timestamp,open,high,low,close,volume
2026-01-01 00:00:00,50000.0,50200.0,49800.0,50100.0,120.5
2026-01-01 01:00:00,50100.0,50350.0,50050.0,50300.0,145.2
2026-01-01 02:00:00,50300.0,50600.0,50250.0,50550.0,180.0
2026-01-01 03:00:00,50550.0,50900.0,50500.0,50850.0,210.3
2026-01-01 04:00:00,50850.0,51200.0,50800.0,51150.0,250.8
2026-01-01 05:00:00,51150.0,51500.0,51100.0,51400.0,290.4
2026-01-01 06:00:00,51400.0,51800.0,51350.0,51750.0,310.0
2026-01-01 07:00:00,51750.0,52100.0,51700.0,52000.0,330.1
2026-01-01 08:00:00,52000.0,52500.0,51950.0,52400.0,410.5
2026-01-01 09:00:00,52400.0,52800.0,52300.0,52700.0,450.2
2026-01-01 10:00:00,52700.0,53000.0,52500.0,52600.0,380.7
2026-01-01 11:00:00,52600.0,52750.0,52100.0,52200.0,320.0
2026-01-01 12:00:00,52200.0,52300.0,51700.0,51800.0,290.6
2026-01-01 13:00:00,51800.0,51900.0,51200.0,51300.0,340.1
2026-01-01 14:00:00,51300.0,51400.0,50600.0,50700.0,390.8
2026-01-01 15:00:00,50700.0,50800.0,50000.0,50100.0,420.2
2026-01-01 16:00:00,50100.0,50200.0,49400.0,49500.0,480.0
2026-01-01 17:00:00,49500.0,49600.0,48900.0,49000.0,510.4
2026-01-01 18:00:00,49000.0,49200.0,48700.0,48800.0,390.2
2026-01-01 19:00:00,48800.0,49100.0,48600.0,48950.0,310.5
2026-01-01 20:00:00,48950.0,49400.0,48900.0,49300.0,280.0
2026-01-01 21:00:00,49300.0,49800.0,49250.0,49750.0,320.4
2026-01-01 22:00:00,49750.0,50300.0,49700.0,50250.0,370.1
2026-01-01 23:00:00,50250.0,50800.0,50200.0,50750.0,410.8
2026-01-02 00:00:00,50750.0,51400.0,50700.0,51350.0,460.2
2026-01-02 01:00:00,51350.0,52000.0,51300.0,51950.0,500.6
2026-01-02 02:00:00,51950.0,52600.0,51900.0,52550.0,540.3
2026-01-02 03:00:00,52550.0,53300.0,52500.0,53200.0,600.0
2026-01-02 04:00:00,53200.0,54000.0,53100.0,53900.0,650.5
2026-01-02 05:00:00,53900.0,54800.0,53800.0,54650.0,720.1
2026-01-02 06:00:00,54650.0,55500.0,54500.0,55400.0,790.8
2026-01-02 07:00:00,55400.0,56000.0,55100.0,55200.0,680.0
2026-01-02 08:00:00,55200.0,55300.0,54400.0,54500.0,590.2
2026-01-02 09:00:00,54500.0,54600.0,53700.0,53800.0,520.4
2026-01-02 10:00:00,53800.0,53900.0,52900.0,53000.0,490.1
2026-01-02 11:00:00,53000.0,53100.0,52000.0,52100.0,460.5
2026-01-02 12:00:00,52100.0,52200.0,51200.0,51300.0,430.0
2026-01-02 13:00:00,51300.0,51400.0,50500.0,50600.0,410.2
2026-01-02 14:00:00,50600.0,50800.0,50100.0,50400.0,370.8
2026-01-02 15:00:00,50400.0,50900.0,50300.0,50850.0,390.1
2026-01-02 16:00:00,50850.0,51500.0,50800.0,51450.0,440.6
2026-01-02 17:00:00,51450.0,52200.0,51400.0,52150.0,490.3
2026-01-02 18:00:00,52150.0,53000.0,52100.0,52950.0,550.0
2026-01-02 19:00:00,52950.0,53800.0,52900.0,53750.0,610.4
2026-01-02 20:00:00,53750.0,54600.0,53700.0,54550.0,680.7
2026-01-02 21:00:00,54550.0,55400.0,54500.0,55300.0,730.2
2026-01-02 22:00:00,55300.0,56200.0,55200.0,56100.0,810.5
2026-01-02 23:00:00,56100.0,57000.0,56000.0,56900.0,890.0
